Feature,Coefficient,Std,Abs_Coefficient
voice_energy_std,2.936444044612254,0.25397086550944914,2.936444044612254
voice_energy_mean,2.6980711238912356,0.3406772771066471,2.6980711238912356
voice_spectral_centroid,1.1488640565411483,0.32628787405529197,1.1488640565411483
voice_jitter,0.8200166531029216,0.20062561723949368,0.8200166531029216
voice_emotion_confidence,-0.8165047771615109,0.04521027614196647,0.8165047771615109
voice_valence,0.5773066838936607,0.10159260096366425,0.5773066838936607
cross_confidence_product,-0.5389415195781657,0.05573450672622992,0.5389415195781657
voice_shimmer,-0.4221103057539256,0.14304923606556472,0.4221103057539256
cross_emotion_mismatch,-0.3966642443808814,0.04712923542590223,0.3966642443808814
voice_silence_ratio,0.36786393989134686,0.05493672143831094,0.36786393989134686
cross_valence_discrepancy,-0.35267164975941073,0.0583403914636791,0.35267164975941073
voice_pitch_mean,-0.3106579372558984,0.2911529862905408,0.3106579372558984
voice_zcr_mean,-0.2704276762727547,0.09807811735958377,0.2704276762727547
voice_mfcc_1,-0.2559230237447482,0.1840024362693899,0.2559230237447482
voice_pitch_std,-0.25045036798135556,0.48043710298339315,0.25045036798135556
voice_pitch_range,0.1404413950201214,0.497720021677402,0.1404413950201214
voice_tempo,-0.12032497950690377,0.042829620773493844,0.12032497950690377
voice_mfcc_3,0.1170070949730256,0.21475146024771583,0.1170070949730256
text_valence,0.023263632081803938,0.02506870595581034,0.023263632081803938
text_confidence,0.023263632081803938,0.02506870595581034,0.023263632081803938
text_prob_neutral,0.023263632081803938,0.02506870595581034,0.023263632081803938
voice_mfcc_2,0.0044134609158159145,0.32045181027040576,0.0044134609158159145
text_minimizer_count,0.0,0.0,0.0
text_neg_word_count,0.0,0.0,0.0
cross_valence_direction,0.0,0.0,0.0
cross_valence_sign_mismatch,0.0,0.0,0.0
