filepath,filename,actor_id,emotion_code,emotion_label,intensity,statement_code,statement_text,repetition,gender,discrepancy,text_pred_emotion,text_confidence,text_valence,text_neg_word_count,text_minimizer_count,text_prob_neutral,voice_pitch_mean,voice_pitch_std,voice_pitch_range,voice_jitter,voice_energy_mean,voice_energy_std,voice_shimmer,voice_zcr_mean,voice_tempo,voice_spectral_centroid,voice_silence_ratio,voice_mfcc_1,voice_mfcc_2,voice_mfcc_3,voice_pred_emotion,voice_emotion_confidence,voice_valence,cross_valence_discrepancy,cross_valence_direction,cross_confidence_product,cross_emotion_mismatch,cross_valence_sign_mismatch
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,1,01,neutral,normal,01,Kids are talking by the door,1,male,0,neutral,0.80721927,-0.062204212,0,0,0.80721927,117.27817267597354,16.104571825126396,57.66517465227108,0.02571420365095022,0.0059477696,0.0024048684,0.17651296,0.09354248046875,117.1875,1422.5394821494215,0.0,-450.4743,114.354576,-13.819464,happy,0.13771774,-0.24933675,0.18713254,-1,0.111168414,1,0
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,1,01,neutral,normal,01,Kids are talking by the door,2,male,0,neutral,0.80721927,-0.062204212,0,0,0.80721927,120.8156397545409,18.24175178800188,66.69745489559993,0.022158388292575243,0.0061894082,0.0026634326,0.18725012,0.08940197172619048,156.25,1483.528467720968,0.0,-455.09564,104.489876,-9.1539135,happy,0.13438773,-0.2590928,0.1968886,-1,0.108480364,1,0
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,1,01,neutral,normal,02,Dogs are sitting by the door,1,male,0,neutral,0.8559965,-0.024885241,0,0,0.8559965,117.81806806077346,13.822562591327339,42.855110193666036,0.03273617995481125,0.0072482564,0.0036185915,0.18063119,0.1159423828125,133.92857142857142,1584.8327108766905,0.0,-434.739,107.87068,-5.85729,sad,0.1365508,-0.2645713,0.23968607,-1,0.116887,1,0
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,1,01,neutral,normal,02,Dogs are sitting by the door,2,male,0,neutral,0.8559965,-0.024885241,0,0,0.8559965,115.18204609863201,14.105086896694921,48.34163899486951,0.03331838081659865,0.0067343665,0.0038345454,0.18797763,0.11713741987179487,133.92857142857142,1582.6853004475827,0.0,-440.97635,102.61591,-0.5561206,sad,0.13585678,-0.26472285,0.23983762,-1,0.11629292,1,0
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,1,02,calm,normal,01,Kids are talking by the door,1,male,0,neutral,0.80721927,-0.062204212,0,0,0.80721927,120.27668021264522,20.683968238762667,73.15660263282295,0.05002821678089411,0.003943104,0.0022081188,0.20164418,0.10987367021276596,125.0,1535.510660399223,0.0,-504.64075,108.10455,0.7547931,sad,0.1479789,-0.27200922,0.20980501,-1,0.11945142,1,0
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,1,02,calm,normal,01,Kids are talking by the door,2,male,0,neutral,0.80721927,-0.062204212,0,0,0.80721927,112.55293246223488,20.612338417206928,75.38260035776639,0.03213353385742167,0.0038672125,0.0023534002,0.22043706,0.08574969951923077,117.1875,1368.2085022115873,0.0,-512.75256,118.96542,-2.8757718,sad,0.15027824,-0.27235174,0.21014753,-1,0.12130749,1,0
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,1,02,calm,normal,02,Dogs are sitting by the door,1,male,0,neutral,0.8559965,-0.024885241,0,0,0.8559965,108.3525260060566,10.895327553853212,41.226198114981656,0.03450516172400921,0.0056639705,0.0026538062,0.14364482,0.12655101102941177,93.75,1597.4426532844209,0.0,-471.88947,107.691055,-6.2404494,sad,0.1500799,-0.2709022,0.24601695,-1,0.12846787,1,0
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,1,02,calm,normal,02,Dogs are sitting by the door,2,male,0,neutral,0.8559965,-0.024885241,0,0,0.8559965,108.42788525686491,8.589661936496938,34.51955259335959,0.02061194787073947,0.0060723717,0.0029752033,0.12749769,0.10337320963541667,104.16666666666667,1456.264539801794,0.0,-462.0743,116.44779,-7.971756,sad,0.14972782,-0.2709622,0.24607697,-1,0.1281665,1,0
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,1,02,calm,strong,01,Kids are talking by the door,1,male,0,neutral,0.80721927,-0.062204212,0,0,0.80721927,102.14665513901654,9.709009953794178,51.3685106571142,0.027102293996677435,0.003149722,0.0014394001,0.17529221,0.08210972377232142,104.16666666666667,1392.321294416972,0.0,-523.20795,115.8502,1.3626436,sad,0.15042028,-0.2713211,0.20911688,-1,0.12142215,1,0
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,1,02,calm,strong,01,Kids are talking by the door,2,male,0,neutral,0.80721927,-0.062204212,0,0,0.80721927,110.09146137694746,13.400913540648839,44.519931469801364,0.04181854232174764,0.0031862408,0.0018356566,0.18653984,0.12618255615234375,117.1875,1630.8783182102015,0.0,-518.23236,105.93703,-2.5614817,sad,0.15033358,-0.272186,0.2099818,-1,0.121352166,1,0
